Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
02-Jan-17,634,639.7,627.25,634.8,634.8386814,208395,5443,132297207,54063,25.94,12.45,0.8
03-Jan-17,637.5,642.15,632.35,636,637.2226504,225250,4785,143534402,82248,36.51,9.8,-1.5
04-Jan-17,637,642.95,635,637.6,638.7998068,135639,4379,86646167,51831,38.21,7.95,0.6
05-Jan-17,643.6,647.8,641,643.25,644.7506444,176134,4756,113562510,51069,28.99,6.8,-0.35
06-Jan-17,650,650,640,640.95,644.6885046,196600,4948,126745760,55429,28.19,10,-9.05
09-Jan-17,644.9,646.5,631,632.9,636.0601924,185721,4500,118129735,72698,39.14,15.5,-12
10-Jan-17,636.3,639.5,627.2,638.3,634.684206,197784,4572,125530381,53234,26.92,12.3,2
11-Jan-17,640,649.65,639.3,647.7,644.9420958,180574,3864,116459774,66119,36.62,10.35,7.7
12-Jan-17,632,645.5,628,643.9,638.8169394,315950,7979,201834212,91541,28.97,17.5,11.9
13-Jan-17,648,656.2,642.3,651.25,651.6093986,352052,7746,229400392,107669,30.58,13.9,3.25
16-Jan-17,653,654.8,642.45,643.6,647.0745338,122213,2757,79080920,34727,28.42,12.35,-9.4
17-Jan-17,645,652.4,645,648.15,649.145134,139981,3189,90867985,39574,28.27,7.4,3.15
18-Jan-17,653,654.05,645,649.85,649.8866546,192950,3260,125395630,60178,31.19,9.05,-3.15
19-Jan-17,649.85,653.7,640.5,644.2,649.4419298,462406,4770,300305845,302857,65.5,13.2,-5.65
20-Jan-17,644,647.45,640,640.9,642.8617927,112599,2900,72385595,31451,27.93,7.45,-3.1
23-Jan-17,640.9,645.15,632.55,634.5,636.5771845,226127,7382,143947289,40879,18.08,12.6,-6.4
24-Jan-17,637,644.4,637,642.15,640.9914034,134471,3306,86194755,81832,60.85,7.4,5.15
25-Jan-17,642,645.05,633.2,636.1,640.3153212,183784,5284,117679711,60819,33.09,11.85,-5.9
27-Jan-17,637.25,642.7,634.8,639.7,639.1441908,201802,4684,128980576,97384,48.26,7.9,2.45
30-Jan-17,646.4,654.5,638.9,644.85,649.2841068,189735,5864,123191920,74439,39.23,15.6,-1.55
31-Jan-17,645,648.8,630,631.55,636.7318225,129418,3907,82404559,60489,46.74,18.8,-13.45
01-Feb-17,631,636.95,619.4,624.85,627.0060866,297046,7480,186249650,79565,26.79,17.55,-6.15
02-Feb-17,625,644.4,620,641.35,634.8968037,271812,6268,172572570,59433,21.87,24.4,16.35
03-Feb-17,647,649.5,640.3,647.15,646.2805993,197349,5276,127542830,51023,25.85,9.2,0.15
06-Feb-17,650,676,645.55,674.3,665.4530611,522786,13661,347889544,158409,30.3,30.45,24.3
